id,question,level_1_knowledge,level_2_knowledge,level_3_knowledge,level_4_knowledge,level_5_knowledge,level_6_knowledge,level_7_knowledge,level_8_knowledge,level_9_knowledge
23,已知$a$ 是锐角，那么$2a$ 是,029210500000000,029210507000000,029210507010000,029210500000000,029210507000000,029210507050000,029210400000000,029210402000000,029210402010000
24,"设$a >0,b >0$,若$ab-5= 4a+b$，则$ab$的最小值是",029210200000000,029210202100000,029210202110000,029210300000000,029210305000000,029210305050000,029210200000000,029210202000000,029210202030000
25,使不等式 $x^2 -x-6<0$成立的充分不必要条件是,029210200000000,029210203000000,029210203060000,029210200000000,029210203000000,029210203040000,029210200000000,029210204000000,029210204030000
26,"若函数 $f (x) = ax^2 +6x-1$在(-1,1)内恰有一个零点，则实数$a$的取值范围为_______．",029210300000000,029210305000000,029210305040000,029210300000000,029210302100000,029210302130000,029210300000000,029210305000000,029210305080000
27,已知函数$f (x)=\log_a(x+1)-\log_a(1-x)$．（1）判断函数 $f (x)$的奇偶性，并证明你的结论；（2）解不等式 $f (x)>0$．,029210300000000,029210303000000,029210303070000,029210300000000,029210303100000,029210303120000,029210200000000,029210203000000,029210203090000
28,淘气今年$x$岁，妈妈比他大$27$岁，妈妈今年是（?????）岁，爸爸的年龄是淘气的$5$倍，爸爸今年是（?????）岁．,029210200000000,029210201100000,029210201100000,029210200000000,029210201100000,029210201100000,029210200000000,029210201000000,029210201040000
29,一本笔记本的单价是$3$元，买$15本$这样的笔记本共需（??????）元。,029210200000000,029210201100000,029210201100000,029210500000000,029210506000000,029210506030000,029210100000000,029210101000000,029210101090000
30,甲数的$25%$等于乙数的$3/7$，（甲、乙不为$0$），甲数（??? ）乙数。,029210500000000,029210506000000,029210506010000,029210100000000,029210104000000,029210104020000,029210100000000,029210104100000,029210104130000
31,有$2$件上衣和$3$条裤子，要配成一套衣服，有?????种不同的搭配方法。,029210300000000,029210301000000,029210301010000,029210100000000,029210101000000,029210101010000,029210300000000,029210304000000,029210304060000
32,小明家在小丽家的南偏东$30°$方向上，小丽家在小明家的（??????）方向上.,029210400000000,029210402000000,029210402030000,029210500000000,029210503000000,029210503090000,029210500000000,029210503000000,029210503010000
33,用小正方体搭立体图形，使搭成的图形从正面看到的形状是，从上面看有$3$个小正方形，共有（??????）种搭法.,029210400000000,029210401100000,029210401140000,029210400000000,029210401100000,029210401140000,029210400000000,029210401000000,029210401030000
34,王强看小明在北偏东$42°$的方向上，小明看王强在（????）方向上。,029210400000000,029210402000000,029210402030000,029210500000000,029210503000000,029210503090000,029210500000000,029210503000000,029210503010000
35,如下图，奇思看妙想在（????）的方向上，妙想看奇思在（????）的方向上。,029210400000000,029210402000000,029210402030000,029210500000000,029210503000000,029210503090000,029210500000000,029210503000000,029210503010000
36,亮亮家在学校北偏东$40°$方向上，那么学校在亮亮家（????）方向上。,029210400000000,029210402000000,029210402030000,029210500000000,029210503000000,029210503090000,029210500000000,029210503000000,029210503010000
37,一个立体图形从上面看是，右面看是，前面看是，这个立体图形是由（????）个小正方体搭成的．,029210400000000,029210401100000,029210401140000,029210400000000,029210401000000,029210401030000,029210400000000,029210401000000,029210401020000
38,有一个用若干个小正方体拼搭的立休图形，从正面、上面、左面看都是，至少用了（????）块小正方体。,029210400000000,029210401100000,029210401140000,029210400000000,029210401000000,029210401030000,029210400000000,029210401000000,029210401020000
39,用同样的正方体摆成一个物体，从正面看到的形状是，从左面看到的形状是。搭成这样一个物体至多要用（????）个正方体。,029210400000000,029210401100000,029210401140000,029210400000000,029210401000000,029210401030000,029210400000000,029210401000000,029210401020000
40,$2.4$立方米＝（?????）立方分米，???$500$毫升＝（??????）升.,029210100000000,029210101000000,029210101040000,029210100000000,029210101100000,029210101180000,029210100000000,029210101100000,029210101160000
41,用$0$、$2$、$6$和小数点组成最小的两位小数是（________），读作（________），把这个小数先扩大到它的$10$倍，再缩小到它的$1/100$，结果是（________）。,029210100000000,029210101100000,029210101140000,029210100000000,029210101100000,029210101150000,029210100000000,029210101100000,029210101130000
42,在○里填上“＞”、“＜”或“＝”号。,029210100000000,029210101000000,029210101050000,029210100000000,029210101000000,029210101010000,029210100000000,029210102200000,029210102250000
43,观察下面三个组合图形，从（?????）面看到的图形是相同的。,029210400000000,029210401000000,029210401010000,029210400000000,029210401000000,029210401030000,029210400000000,029210401000000,029210401090000
44,移走几何体中的小正方体(??? )，从正面和左面看到的形状图不变。,029210400000000,029210401000000,029210401020000,029210400000000,029210401000000,029210401040000,029210400000000,029210401000000,029210401030000
45,文明创建，美化校园。晨光小学打算用彩绘修饰一面边长为1米的正方形墙面，已经彩绘的情况如下???图阴影部分，已经完成的部分占整个墙面的（??）。,029210400000000,029210408100000,029210408140000,029210400000000,029210401000000,029210401010000,029210400000000,029210409200000,029210409230000
46,下列温度中，适合表示冰箱温度的是（　　）,029210100000000,029210101000000,029210101040000,029210100000000,029210101100000,029210101140000,029210100000000,029210101000000,029210101050000
47,如果汽车先向西行驶$40$千米记作$-40$千米，那么这辆汽车又向东行驶$80$千米，这时汽车的位置记作（　　）,029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101090000,029210100000000,029210101000000,029210101080000
48,下面四句话，错误的一句是（　　）,029210400000000,029210401000000,029210401030000,029210500000000,029210505000000,029210505020000,029210400000000,029210403100000,029210403120000
49,不用计算，下列算式中积最大的是（　　）,029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101090000,029210100000000,029210101100000,029210101140000
50,如果$A×9/10＞9/10$，那么（　　）,029210200000000,029210203000000,029210203030000,029210100000000,029210102000000,029210102010000,029210200000000,029210203000000,029210203040000
51,王老师买了$45$支圆珠笔作为奖品，每支圆珠笔$1.6$元。小欣用竖式计算一共需要多少元。,029210100000000,029210101000000,029210101090000,029210100000000,029210101100000,029210101140000,029210100000000,029210101000000,029210101080000
52,把一个底面半径$5$厘米、高$10$厘米的圆柱体，切拼成一个近似的长方体，表面积比原来增加了平方厘米．,029210400000000,029210409200000,029210409270000,029210400000000,029210401000000,029210401030000,029210400000000,029210401000000,029210401090000
53,把一个长$6$厘米、宽$3$厘米、高$5$厘米的长方体，切成两个完全一样的长方体，表面积之和至少能增加（　　）。,029210400000000,029210401000000,029210401090000,029210400000000,029210406000000,029210406050000,029210400000000,029210401000000,029210401030000
54,用棱长都是$5$厘米的$4$个正方体拼成一个长方体，这个长方体棱长总和是（　　）厘米。,029210400000000,029210408100000,029210408130000,029210400000000,029210408100000,029210408140000,029210400000000,029210401000000,029210401030000
55,$12$月$20$日，北京的气温是$-5℃$，最高是$8℃$，这一天北京的温差是（　　）,029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101070000,029210100000000,029210101000000,029210101050000
56,$-1$的绝对值是（）,029210100000000,029210101000000,029210101040000,029210100000000,029210101000000,029210101090000,029210100000000,029210101000000,029210101010000
57,整数$2022$的绝对值是,029210100000000,029210101000000,029210101040000,029210100000000,029210101000000,029210101050000,029210100000000,029210102200000,029210102250000
58,$—2022$的绝对值是,029210100000000,029210101000000,029210101040000,029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101090000
59,绝对值是$2$的数是,029210100000000,029210101000000,029210101040000,029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101050000
60,截止到$2021$年$12$月$5$日，成功报名北京冬奥会赛会志愿者的人数已超过$1120000$人．将$1120000$用科学记数法表示应为,029210100000000,029210101100000,029210101140000,029210100000000,029210101100000,029210101150000,029210100000000,029210101100000,029210101160000
61,$2021$年$12$月$9$日，中国空间站在距地面约$400$千米的近地轨道首次成功实现太空授课活动，数$400$用科学记数法表示为,029210100000000,029210101100000,029210101140000,029210100000000,029210101100000,029210101150000,029210100000000,029210101100000,029210101160000
62,北京冬奥会标志性场馆国家速滑馆“冰丝带”近$12000$平方米的冰面采用分模块控制技术，可根据不同项目分区域、分标准制冰．将$12000$用科学记数法表示为,029210100000000,029210101100000,029210101140000,029210100000000,029210101100000,029210101150000,029210100000000,029210101000000,029210101090000
63,据有关统计信息：$2022$年公务员国考报名人数突破$202$万，数据$202$万用科学记数法表示为,029210100000000,029210101100000,029210101140000,029210100000000,029210101100000,029210101150000,029210100000000,029210102200000,029210102250000
64,用一平面截一个正方体，不能得到的截面形状是,029210400000000,029210401000000,029210401010000,029210400000000,029210401000000,029210401030000,029210400000000,029210401100000,029210401130000
65,一个平面分别去截下列几何体，截面不能得到圆的是,029210400000000,029210401000000,029210401030000,029210400000000,029210401100000,029210401130000,029210400000000,029210409000000,029210409010000
66,如图，用一个平面去截左边的圆锥，不可能得到的截面是,029210400000000,029210409000000,029210409010000,029210400000000,029210409200000,029210409270000,029210400000000,029210401000000,029210401090000
67,如图所示，用一个平面分别去截下列水平放置的几何体，所截得的截面不可能是三角形的是,029210400000000,029210401000000,029210401010000,029210400000000,029210401000000,029210401030000,029210400000000,029210401100000,029210401130000
68,以下调查中，最适宜采用普查方式的是,029210600000000,029210601000000,029210601010000,029210600000000,029210601000000,029210601030000,029210600000000,029210601000000,029210601040000
69,下列调查中，最适合采用抽样调查的是,029210600000000,029210601000000,029210601030000,029210600000000,029210601000000,029210601040000,029210600000000,029210601000000,029210601010000
70,下列调查中，适合进行全面调查的是,029210600000000,029210601000000,029210601010000,029210600000000,029210601000000,029210601020000,029210600000000,029210601000000,029210601030000
71,下列调查中，适宜抽样调查的是,029210600000000,029210601000000,029210601010000,029210600000000,029210601000000,029210601040000,029210600000000,029210601000000,029210601050000
72,如图，建筑工人砌墙时，经常在两个墙脚的位置分别插一根木桩，然后拉一条直的参照线，这种做法用几何知识解释应是,029210400000000,029210402000000,029210402030000,029210400000000,029210403000000,029210403050000,029210400000000,029210401000000,029210401050000
73,开学整理教室时，卫生委员总是先把每一列最前和最后的课桌摆好，然后再依次摆中间的课桌，一会儿一列课桌就摆在一条线上，整整齐齐，用几何知识解释其道理正确的是,029210400000000,029210402000000,029210402030000,029210400000000,029210401100000,029210401170000,029210400000000,029210401000000,029210401050000
74,如图，林林的爸爸只用两枚钉子就把一根木条固定在墙上，下列语句能解释这个原理的是,029210400000000,029210402000000,029210402030000,029210500000000,029210503000000,029210503060000,029210400000000,029210401000000,029210401050000
75,在下列生活、生产现象中，不可以用基本事实“两点确定一条直线”来解释的有,029210400000000,029210402000000,029210402030000,029210400000000,029210403100000,029210403110000,029210500000000,029210501000000,029210501010000
76,已知$6^x=2$，$6^y=3$，则$6^(x+2y)$为,029210100000000,029210102100000,029210102100000,029210100000000,029210102000000,029210102090000,029210100000000,029210102100000,029210102130000
77,如图所示，边长为的正方形中阴影部分的面积为,029210400000000,029210408100000,029210408140000,029210400000000,029210409200000,029210409220000,029210400000000,029210401000000,029210401010000
78,如图①，将一个边长为的正方形纸片剪去两个小长方形，得到一个“$s$”形的图案，如图②所示，则这个“$s$”形的图案的周长可以表示为,029210400000000,029210408100000,029210408140000,029210400000000,029210409200000,029210409210000,029210400000000,029210401000000,029210401010000
79,如图，将边长为的正方形剪去两个小长方形得到图案，再将这两个小长方形拼成一个新的长方形，求新的长方形的周长,029210400000000,029210408000000,029210408060000,029210400000000,029210401000000,029210401010000,029210400000000,029210409200000,029210409210000
80,如图是长，宽的长方形，在四个角剪去$4$个边长为的小正方形，按折痕做一个有底无盖的长方体盒子，这个盒子的容积是,029210400000000,029210401000000,029210401020000,029210400000000,029210409200000,029210409270000,029210400000000,029210401000000,029210401030000
81,现有以下五个结论：①绝对值等于其本身的有理数只有零；②相反数等于其本身的有理数只有零；③一定是负数；④一个有理数不是整数就是分数；⑤若两个数的绝对值相等，则这两个数一定相等．其中正确的有,029210100000000,029210101000000,029210101040000,029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101090000
82,"若$x^2-2x-5=0$,则代数式$6x-3x^2+3$的值是",029210200000000,029210204000000,029210204010000,029210100000000,029210102000000,029210102020000,029210200000000,029210204100000,029210204140000
83,已知$x^2+2x$的值是$-1$，则$4x^2+8x-5$的值为,029210100000000,029210102000000,029210102020000,029210200000000,029210204000000,029210204010000,029210100000000,029210101000000,029210101090000
84,某车间有工人$85$人，平均每人每天可加工大齿轮$16$个或小齿轮$10$个，又知二个大齿轮和三个小齿轮配成一套，问应如何安排劳力使生产的产品刚好成套？若“设应安排人加工大齿轮”，则可列方程为,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202020000,029210200000000,029210202000000,029210202030000
85,有一群鸽子和一些鸽笼，如果每个鸽笼住$6$只鸽子，则剩余$3$只鸽子无鸽笼可住；如果再飞来$5$只鸽子，连同原来的鸽子，每个鸽笼刚好住$8$只鸽子．设原有只鸽子，则可列方程,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202020000,029210200000000,029210202000000,029210202030000
86,为保障一线医护人员的健康安全，某防护服厂加班生产防护服和防护面罩．已知工厂共$54$人，每人每天可加工防护服$80$件或防护面罩$100$个，已知一套防护服配一个防护面罩，为了使每天生产的防护服与防护面罩正好配套，需要安排?????人生产防护服．,029210200000000,029210202000000,029210202050000,029210200000000,029210202000000,029210202030000,029210200000000,029210202000000,029210202020000
87,明代大数学家程大位著的《算法统宗》一书中，记载了这样一道数学题：“八万三千短竹竿，将来要把笔头安，管三套五为期定，问君多少能完成？”用现代的话说就是：有$83000$根短竹，每根短竹可制成毛笔的笔管$3$个或笔套$5$个，怎样安排笔管或笔套的短竹的数量，使制成的$1$个笔管与$1$个笔套正好配套？设用于制作笔管的短竹数为根，则可列方程为??．,029210200000000,029210202000000,029210202050000,029210200000000,029210202000000,029210202030000,029210200000000,029210202000000,029210202020000
88,现用四个数$2$，$-6$，$5$，$8$进行加、减、乘、除乘方混合运算，每个数只能用一次，要使运算结果等于$24$，则可以列式为,029210100000000,029210101000000,029210101080000,029210100000000,029210101000000,029210101090000,029210100000000,029210101000000,029210101090000
89,请将“$7$，$-2$，$-3$，$1$”这四个数进行加、减、乘、除、乘方混合运算，使运算结果为$24$或（可以加括号，但不可使用绝对值和相反数参与运算，每个数必须用一次且只能用一次），写出你的算式：             ．,029210100000000,029210101000000,029210101080000,029210100000000,029210101000000,029210101090000,029210100000000,029210101000000,029210101090000
90,用$3$，$4$，$-6$，$10$这四个有理数进行加减乘除四则运算（每个数只用一次），使其结果等于$24$，你列的一个算式是        ．,029210100000000,029210101000000,029210101080000,029210100000000,029210101000000,029210101090000,029210100000000,029210101000000,029210101090000
91,现用四个数$-3$，$-6$，$5$，$8$进行加、减、乘、除四则运算，每个数只能用一次，要使运算结果等于$24$，则可以列式为  ．,029210100000000,029210101000000,029210101080000,029210100000000,029210101000000,029210101090000,029210100000000,029210101000000,029210101090000
92,如图，在$AOB$的内部有3条射线$OC$、$OD$、$OE$，若$AOC=52°$，$BOE=1/4BOC$，$BOD=1/4AOB$，则$DOE=$    ．,029210400000000,029210402000000,029210402080000,029210400000000,029210402100000,029210402120000,029210400000000,029210401100000,029210401160000
93,尺规作图：作线段$AB$，满足$AB=m+n$（保留作图痕迹，不用写作法）,029210500000000,029210504000000,029210504020000,029210500000000,029210504000000,029210504050000,029210500000000,029210504000000,029210504040000
94,在（1）的条件下，点$O$是$AB$的中点，点$C$在线段$AB$上，且满足$AC=m$，当$m=5$，$n=3$时，求线段$OC$的长．,029210400000000,029210401100000,029210401170000,029210400000000,029210401000000,029210401050000,029210400000000,029210401000000,029210401070000
95,尺规作图：延长线段$AB$到$C$，使$BC=AB$．（保留痕迹，不写作法）,029210500000000,029210504000000,029210504020000,029210500000000,029210504000000,029210504050000,029210500000000,029210504000000,029210504040000
96,在上图中，若$AB=4cm$，$D$为直线上$AC$一点，且$CD=3cm$，求$AD$的长．,029210400000000,029210401100000,029210401170000,029210400000000,029210401100000,029210401180000,029210500000000,029210504000000,029210504040000
97,（1）尺规作图：在射线$AE$上截取$AC=m$，$CB=n$，使得$AB=m+n$（保留作图痕迹，不用写作法）；,029210500000000,029210504000000,029210504020000,029210500000000,029210504000000,029210504050000,029210500000000,029210506000000,029210506030000
98,（2）在（1）的条件下，若点$O$是$AB$的中点，当$m=3$，$n=5$时，求线段$OC$的长；,029210400000000,029210401000000,029210401050000,029210400000000,029210401000000,029210401070000,029210100000000,029210101000000,029210101090000
99,某口罩加工厂计划每名工人每天生产$300$个医用口罩，一周生产$2100$个医用口罩．由于种种原因，实际每天生产量与计划量相比有出入．工人小贤$9$月份第$2$周周日生产了$300$个医用口罩，$9$月份第$3$周的生产情况如下表，正号表示产量比前一天增产，负号表示产量比前一天减产。（·）根据记录的数据可知，小贤$9$月份第$3$周产量最多的一天是星期    ．（2）根据表格记录的数据，求出小贤本周实际生产的口罩数量．（3）若该厂实行每周计件工资制，每生产一个口罩可得$0.8$元，若超额完成周计划工作量，则超过部分每个另外奖励$1.2$元；若完不成每周的计划量，则少生产一个扣$0.3$元，问小贤这一周的工资总额是多少元？（4）若该厂实行每日计件工资制，每生产一个口罩可得$0.8$元，若超额完成每日计划工作量，则超过部分每个另外奖励$1.2$元；若完不成每天的计划量，则少生产一个扣$0.3$元，请直接写出小贤这一周的工资总额．,029210200000000,029210202000000,029210202030000,029210100000000,029210101000000,029210101090000,029210100000000,029210101000000,029210101090000
100,随着短视频软件的普及，许多人利用各种直播平台做电商，小李也将自己家果园的苹果梨在某直播平台进行销售，经过一段时间的销售，小李发现每天能销售左右的苹果梨，如表为小李12月份第一周的苹果梨销售情况（以为标准，超额记为正，不足记为负．单位：$kg$．（1）小李在这周星期一到星期三这三天共卖出苹果梨      ；（2）这周销售量最多的一天比销售量最少的一天多销售   ；（3）若苹果梨的售价为$5.5$元，小李还需要承担运费，平均运费为$0.5$元，不考虑其他因素，求小李这周直播销售苹果梨的总收入．,029210600000000,029210601000000,029210601050000,029210600000000,029210601000000,029210601070000,029210600000000,029210601000000,029210601080000
101,某电脑组装公司计划每天组装$200$台电脑，由于工作人员轮休等原因，实际每天组装量与计划组装量有所差异．下表反映的是上周每天实际组装数量（超产的台数为正数，减产的台数为负数）.【小题1】（1）该车间星期三组装电脑      台；（2）请求出该公司上周实际组装电脑的数量；（3）该公司实行“每日计件工资制”，每组装一台电脑可以得$60$元，若超额完成任务，则超过部分每台在$60$元基础上另奖$15$元；少组装一台则倒扣$20$元，那么该公司工人这一周的工资总额是多少元？,029210200000000,029210201100000,029210201100000,029210100000000,029210101000000,029210101090000,029210600000000,029210601000000,029210601050000
102,某校七年级学生准备观看电影《长津湖》．由各班班长负责买票，每班人数都多于$40$人，票价每张$30$元，一班班长问售票员买团体票是否可以优惠，售票员说：$40$人以上的团体票有两种优惠方案可选择：方案一：全体人员打$8$折；方案二：打$9$折，有$5$人可以免票．【小题1】（1）若一班有$x$($x>40$)人，则方案一需付  元钱，方案二需付   元钱；（用含$x$的代数式表示）【小题2】（2）若二班有$41$名学生，则他选择哪个方案更优惠？【小题3】（3）一班班长思考一会儿说，我们班无论选择哪种方案要付的钱是一样的，你知道一班有多少人吗？,029210200000000,029210201100000,029210201100000,029210100000000,029210101000000,029210101090000,029210600000000,029210601000000,029210601020000
103,元旦假期，甲、乙两家超市以相同的价格出售同样的商品．为了吸引顾客，各自推出不同的优惠方案：在甲超市当日累计购物超出了$300$元以后，超出部分按原价$8$折优惠；在乙超市当日累计购物超出$200$元之后，超出部分按原价$8.5$折优惠．设某位顾客在元旦这天预计累计购物$x$元（其中$x>300$)．【小题1】（1）分别求出顾客到甲、乙两家超市的实际支付的费用（用含$x$的式子表示）；【小题2】（2）当$x=400$时，顾客到哪家超市购物优惠？请说明理由；【小题3】（3）当$x$为何值时，顾客到这两家超市购物实际支付的钱数相同．,029210200000000,029210201100000,029210201100000,029210100000000,029210101000000,029210101090000,029210200000000,029210203000000,029210203090000
104,$2019$年双“十一”期间，天猫商场某书店制定了促销方案：若一次性购书超过$300$元，其中$300$元按九五折优惠，超过$300$元的部分按八折优惠．【小题1】（1）设一次性购买的书箱原价是$x$元，当$x$超过$300$时，实际付款为  元；（用含$x$的代数式表示，并化简）【小题2】（2）若小明购书时一次性付款$365$元，则所购书籍的原价是多少元？【小题3】（3）小冬在促销期间先后两次下单购买书箱，两次所购书籍的原价之和为$600$元（第一次所购书籍的原价高于第二次），两次实际共付款$555$元，则小冬两次购物所购书籍的原价分别是多少元？,029210200000000,029210201100000,029210201100000,029210100000000,029210101000000,029210101090000,029210600000000,029210601000000,029210601020000
105,七年级开展演讲比赛，学校决定购买一些笔记本和钢笔作为奖品．现有甲、乙两家商店出售两种同样品牌的笔记本和钢笔，他们的定价都相同：笔记本定价为每本$20$元，钢笔定价为每支$5$元．但优惠方案不同：甲店每买一本笔记本赠一支钢笔，乙店全部按定价的$9$折优惠．已知七年级需笔记本$20$本，钢笔$x$支（不少于$20$支）．问：【小题1】（1）在甲店购买需付款  元（用$x$的代数式表示）；【小题2】（2）若$x=30$，通过计算说明此时到哪家商店购买较为合算；【小题3】（3）购买钢笔多少支时，两家付款一样多；【小题4】（4）当$x=40$时，如何购买最省钱？写出你的购买方法，并算出此时需要付款多少元．,029210200000000,029210201100000,029210201100000,029210100000000,029210101000000,029210101090000,029210600000000,029210601000000,029210601090000
106,已知$AOB=100°$，作射线$OC$，再分别$AOC$作和$BOC$的平分线$OD$，$OE$．【小题1】（1）如图1，当射线$OC$在$AOB$内部，且$BOC=80°$时，求$DOE$的度数；【小题2】（2）如图2，当射线$OC$在$AOB$内部绕$O$点旋转时，$DOE$的大小是否发生变化？若变化，请直接写出$DOE$的度数；若不变，说明理由；【小题3】（3）当射线$OC$在外部$AOB$绕点$O$旋转时，则$DOE=$   ．,029210400000000,029210402000000,029210402060000,029210400000000,029210402000000,029210402080000,029210500000000,029210504000000,029210504020000
107,如图，将一个直角三角板中$30°$的锐角顶点与另一个直角三角板的直角顶点叠放一起．（注ACB与DEC是直角，$A=45°$，$DCE=30°$．【小题1】（1）如图①，若点$C$、$B$、$D$在一条直线上，求$ACE$的度数；【小题2】（2）如图②，将直角三角板$CDE$绕点$C$逆时针方向转动到某个位置，若$AC$恰好平分$DCE$，求$BCD$的度数；【小题3】（3）如图③若$DEC$始终在$ACB$的内部，分别作射线$CM$平分$BCD$，射线$CN$平分$ACE$．如果三角板$DCE$在$ACB$内绕点$C$任意转动，$MCN$的度数是否发生变化？如果不变，求出它的度数，如果变化，说明理由．,029210400000000,029210402000000,029210402080000,029210400000000,029210406000000,029210406030000,029210500000000,029210503000000,029210503020000
108,$-1/5$的绝对值是,029210100000000,029210101000000,029210101040000,029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101020000
109,$2020$年$12$月$8$日，国家主席习近平同尼泊尔总统班达里互致信函，共同宣布珠穆朗玛峰最新高度$8848.86$米，其中$8848.86$用科学记数法表示为,029210100000000,029210101100000,029210101140000,029210100000000,029210101200000,029210101200000,029210100000000,029210101000000,029210101050000
